,name,pop,lat,lon
88,Buleleng,3,-8.222151100000001,114.9856223167996
89,Tanjung Balai,3,2.9703419,99.8020903
90,Palangka Raya,3,-2.2072919,113.9164372
91,Baru,3,45.4702594,23.1657121
92,Banda Aceh,3,5.5528455,95.3192908
93,Halmahera Selatan,3,-1.534307,127.71665977154612
94,Manado,3,1.4900578,124.8408708
95,Bantul,3,-7.89825435,110.38555335898621
96,Ngawi,3,-7.4422521,111.3869554
97,Tulungagung,3,-8.07290355,111.89964078880708
98,Gianyar,3,-8.48225965,115.28554575882535
99,Lebak,3,-6.6432601,106.18727177777018
100,Banjar,3,-3.3187496,114.5925828
101,Karanganyar,3,-7.6196965,111.06980026754411
102,Ketapang,3,-1.68125395,110.46504148307831
103,Gowa,3,-5.3290868,119.76602766629097
104,Tidore Kepulauan,2,0.6786796,127.4483156
105,Gorontalo,2,0.7186174,122.4555927
106,Kendal,2,54.3289795,-2.747183
107,Boyolali,2,-7.5344079,110.6041944
108,Probolinggo,2,-7.86316,113.30510534699638
109,Bukittinggi,2,-0.3051954,100.3694921
